country_code,month_end_date,SENT_ORTH_DIV_PREMIUM,SENT_ORTH_DIV_PREMIUM_lag,SENT_ORTH_DIV_PREMIUM_fitted,SENT_ORTH_DIV_PREMIUM_innovation,SENT_ORTH_DIV_PREMIUM_innovation_lag
SWE,2010-06-30,-0.014045637925464802,-0.09311863641253984,-0.07885544312756321,0.0648098052020984,-0.2747303395882241
SWE,2010-07-31,-0.05177658728184312,-0.014045637925464802,-0.01609079858906738,-0.035685788692775736,0.0648098052020984
SWE,2010-08-31,-0.24396976658851813,-0.05177658728184312,-0.04603995531467409,-0.19792981127384404,-0.035685788692775736
SWE,2010-09-30,-0.45685297394500457,-0.24396976658851813,-0.19859438998529816,-0.2582585839597064,-0.19792981127384404
SWE,2010-10-31,-0.13428417621886043,-0.45685297394500457,-0.36757165268678527,0.23328747646792483,-0.2582585839597064
SWE,2010-11-30,-0.26303827609138514,-0.13428417621886043,-0.11153082565528333,-0.1515074504361018,0.23328747646792483
SWE,2010-12-31,-0.13871299560736244,-0.26303827609138514,-0.21373012840075747,0.07501713279339503,-0.1515074504361018
SWE,2011-01-31,-0.23720231151625304,-0.13871299560736244,-0.11504622636049325,-0.12215608515575979,0.07501713279339503
SWE,2011-02-28,-0.12416394025884805,-0.23720231151625304,-0.19322268383821956,0.0690587435793715,-0.12215608515575979
SWE,2011-03-31,-0.3836765072159964,-0.12416394025884805,-0.10349783051371542,-0.28017867670228097,0.0690587435793715
SWE,2011-04-30,-0.06682205841145311,-0.3836765072159964,-0.3094874139364361,0.24266535552498297,-0.28017867670228097
SWE,2011-05-31,-0.7084081555371724,-0.06682205841145311,-0.05798238402526014,-0.6504257715119123,0.24266535552498297
SWE,2011-06-30,-0.19845617615715397,-0.7084081555371724,-0.5672450159908208,0.36878883983366684,-0.6504257715119123
SWE,2011-07-31,-0.5340868518724915,-0.19845617615715397,-0.1624677174200458,-0.3716191344524457,0.36878883983366684
SWE,2011-08-31,-0.6092412258041493,-0.5340868518724915,-0.428876484768506,-0.18036474103564332,-0.3716191344524457
SWE,2011-09-30,-0.31291846711735005,-0.6092412258041493,-0.488530698666879,0.17561223154952893,-0.18036474103564332
SWE,2011-10-31,-0.8746952130102206,-0.31291846711735005,-0.25332281514791166,-0.6213723978623089,0.17561223154952893
SWE,2011-11-30,-0.8197761107821014,-0.8746952130102206,-0.6992363183739506,-0.12053979240815083,-0.6213723978623089
SWE,2011-12-31,-0.8306499707465079,-0.8197761107821014,-0.6556439670571527,-0.17500600368935526,-0.12053979240815083
SWE,2012-01-31,-1.3106439156619556,-0.8306499707465079,-0.6642751555600006,-0.646368760101955,-0.17500600368935526
SWE,2012-02-29,-0.8014925969271303,-1.3106439156619556,-1.0452730930313205,0.24378049610419028,-0.646368760101955
SWE,2012-03-31,-0.9657672754461539,-0.8014925969271303,-0.6411313234243263,-0.3246359520218276,0.24378049610419028
SWE,2012-04-30,-0.7186954819942825,-0.9657672754461539,-0.7715252885097346,0.052829806515452105,-0.3246359520218276
SWE,2012-05-31,-1.068315414930571,-0.7186954819942825,-0.5754106401695663,-0.4929047747610046,0.052829806515452105
