robustness_method,return_horizon_months,sort_variable,sentiment_prone_direction,sentiment_prone_interpretation,coef,expected_signed_hac_t_stat,expected_signed_bootstrap_t_stat,theory_consistent_sign_flag,theory_consistent_sign_share,theory_consistent_hac_5pct_share,theory_consistent_bootstrap_5pct_share,n_obs,model_count
nonoverlapping_horizon_median_offset,6,ILLIQ,high_minus_low,high_amihud_illiquidity,-1.6871308466900174,0.5272822528673865,0.48468294622315744,True,0.8333333333333334,0.0,0.0,47.0,6
overlapping_baseline,6,ILLIQ,high_minus_low,high_amihud_illiquidity,-1.3169289995239477,0.6493140402114144,0.6442506237681798,True,1.0,0.0,0.0,283.0,1
sentiment_ar1_innovation,6,ILLIQ,high_minus_low,high_amihud_illiquidity,-0.780379027050946,0.5264625585965739,0.4700679657127356,True,1.0,0.0,0.0,282.0,1
nonoverlapping_horizon_median_offset,6,IVOL_FF3,high_minus_low,high_ff3_idiosyncratic_volatility,-13.790022095483916,3.165316290013795,2.9485972143690677,True,1.0,0.8333333333333334,0.8333333333333334,47.0,6
overlapping_baseline,6,IVOL_FF3,high_minus_low,high_ff3_idiosyncratic_volatility,-11.7351312839555,4.052724153135374,4.024315534595097,True,1.0,1.0,1.0,283.0,1
sentiment_ar1_innovation,6,IVOL_FF3,high_minus_low,high_ff3_idiosyncratic_volatility,-6.45179627179446,1.989239179733371,1.9941021591319772,True,1.0,1.0,1.0,282.0,1
nonoverlapping_horizon_median_offset,6,ME,low_minus_high,small_firms,-7.179190929298146,1.485891227141722,1.3214711540232642,True,1.0,0.3333333333333333,0.0,47.0,6
overlapping_baseline,6,ME,low_minus_high,small_firms,-6.546560593628212,2.3877687619725823,2.3862385796633414,True,1.0,1.0,1.0,283.0,1
sentiment_ar1_innovation,6,ME,low_minus_high,small_firms,-3.32738348963936,1.2805926002322368,1.2002470267041416,True,1.0,0.0,0.0,282.0,1
nonoverlapping_horizon_median_offset,6,NON_D_PAYER,prone_minus_safe,non_dividend_payers,-3.765575396850286,2.148721369324762,1.9668053449542273,True,1.0,0.8333333333333334,0.5,47.0,6
overlapping_baseline,6,NON_D_PAYER,prone_minus_safe,non_dividend_payers,-3.58098877430115,2.876219991935938,2.909944119189458,True,1.0,1.0,1.0,283.0,1
sentiment_ar1_innovation,6,NON_D_PAYER,prone_minus_safe,non_dividend_payers,-1.9952302581967287,1.7236323075774733,1.6532694358349886,True,1.0,0.0,0.0,282.0,1
nonoverlapping_horizon_median_offset,6,PPE_A,low_minus_high,low_tangibility,-8.560778085499914,3.0133565513899803,2.702957651465087,True,1.0,0.8333333333333334,0.8333333333333334,47.0,6
overlapping_baseline,6,PPE_A,low_minus_high,low_tangibility,-8.337796156053246,4.205707804985292,4.111233937836213,True,1.0,1.0,1.0,283.0,1
sentiment_ar1_innovation,6,PPE_A,low_minus_high,low_tangibility,-4.069061828927997,2.3169309590294658,2.2844547130950783,True,1.0,1.0,1.0,282.0,1
nonoverlapping_horizon_median_offset,6,UNPROFITABLE,prone_minus_safe,non_positive_earnings,-2.6364790220461183,1.3295837173931666,1.2429865000513511,True,1.0,0.16666666666666666,0.16666666666666666,41.0,6
