sort_variable,sort_type,sentiment_prone_direction,sentiment_prone_interpretation,month_end_date,spread_code,spread_return
ME,continuous,low_minus_high,small_firms,2022-12-31,P10_P01,4.559366538062941
ME,continuous,low_minus_high,small_firms,2023-01-31,P10_P01,2.8825979345558546
ME,continuous,low_minus_high,small_firms,2023-02-28,P10_P01,6.150755587592735
ME,continuous,low_minus_high,small_firms,2023-03-31,P10_P01,11.586314100273816
ME,continuous,low_minus_high,small_firms,2023-04-30,P10_P01,2.6647325400706796
ME,continuous,low_minus_high,small_firms,2023-05-31,P10_P01,12.651652149111868
ME,continuous,low_minus_high,small_firms,2023-06-30,P10_P01,3.0418309580920293
ME,continuous,low_minus_high,small_firms,2023-07-31,P10_P01,-3.8824084635956058
ME,continuous,low_minus_high,small_firms,2023-08-31,P10_P01,6.352419147069175
ME,continuous,low_minus_high,small_firms,2023-09-30,P10_P01,-3.773625744190123
ME,continuous,low_minus_high,small_firms,2023-10-31,P10_P01,8.448643951191558
ME,continuous,low_minus_high,small_firms,2023-11-30,P10_P01,1.3749542897915052
ME,continuous,low_minus_high,small_firms,2023-12-31,P10_P01,1.1463996805528645
ME,continuous,low_minus_high,small_firms,2024-01-31,P10_P01,-0.6172172297776486
ME,continuous,low_minus_high,small_firms,2024-02-29,P10_P01,8.939062763745724
ME,continuous,low_minus_high,small_firms,2024-03-31,P10_P01,7.687341400633199
ME,continuous,low_minus_high,small_firms,2024-04-30,P10_P01,6.856366277459568
ME,continuous,low_minus_high,small_firms,2024-05-31,P10_P01,-9.5728910212455
ME,continuous,low_minus_high,small_firms,2024-06-30,P10_P01,-4.508347165826178
ME,continuous,low_minus_high,small_firms,2024-07-31,P10_P01,-4.096026847710089
ME,continuous,low_minus_high,small_firms,2024-08-31,P10_P01,8.854061766129352
ME,continuous,low_minus_high,small_firms,2024-09-30,P10_P01,6.175833135981757
ME,continuous,low_minus_high,small_firms,2024-10-31,P10_P01,-8.736720355790975
ME,continuous,low_minus_high,small_firms,2024-11-30,P10_P01,12.839842466039018
ME,continuous,low_minus_high,small_firms,2024-12-31,P10_P01,4.658986461325354
ME,continuous,low_minus_high,small_firms,2025-01-31,P10_P01,4.518736149390891
ME,continuous,low_minus_high,small_firms,2025-02-28,P10_P01,-3.9095925862685426
ME,continuous,low_minus_high,small_firms,2025-03-31,P10_P01,-7.181592664950753
ME,continuous,low_minus_high,small_firms,2025-04-30,P10_P01,-13.845347719549805
ME,continuous,low_minus_high,small_firms,2025-05-31,P10_P01,-11.77211768040789
ME,continuous,low_minus_high,small_firms,2025-06-30,P10_P01,-6.0761709391866034
ME,continuous,low_minus_high,small_firms,2025-07-31,P10_P01,-6.642035799962731
ME,continuous,low_minus_high,small_firms,2025-08-31,P10_P01,4.633351371203124
ME,continuous,low_minus_high,small_firms,2025-09-30,P10_P01,-4.595242047999807
ME,continuous,low_minus_high,small_firms,2025-10-31,P10_P01,4.939314062954409
ME,continuous,low_minus_high,small_firms,2025-11-30,P10_P01,9.637062794313682
