sort_variable,sort_type,sentiment_prone_direction,sentiment_prone_interpretation,month_end_date,portfolio_code,portfolio_return
ILLIQ,continuous,high_minus_low,high_amihud_illiquidity,2025-02-28,P08,0.2002578926641045
ILLIQ,continuous,high_minus_low,high_amihud_illiquidity,2025-02-28,P09,2.40428605488599
ILLIQ,continuous,high_minus_low,high_amihud_illiquidity,2025-02-28,P10,2.685844108204716
ILLIQ,continuous,high_minus_low,high_amihud_illiquidity,2025-03-31,P01,-7.837992976830241
ILLIQ,continuous,high_minus_low,high_amihud_illiquidity,2025-03-31,P02,-8.008160571708082
ILLIQ,continuous,high_minus_low,high_amihud_illiquidity,2025-03-31,P03,-6.320844652928406
ILLIQ,continuous,high_minus_low,high_amihud_illiquidity,2025-03-31,P04,-4.613613803582424
ILLIQ,continuous,high_minus_low,high_amihud_illiquidity,2025-03-31,P05,-3.235245476967033
ILLIQ,continuous,high_minus_low,high_amihud_illiquidity,2025-03-31,P06,-4.451932888377211
ILLIQ,continuous,high_minus_low,high_amihud_illiquidity,2025-03-31,P07,-4.638513524805924
ILLIQ,continuous,high_minus_low,high_amihud_illiquidity,2025-03-31,P08,-0.6189693354898236
ILLIQ,continuous,high_minus_low,high_amihud_illiquidity,2025-03-31,P09,-4.927613804585133
ILLIQ,continuous,high_minus_low,high_amihud_illiquidity,2025-03-31,P10,2.0691019384901224
ILLIQ,continuous,high_minus_low,high_amihud_illiquidity,2025-04-30,P01,2.6210981946797602
ILLIQ,continuous,high_minus_low,high_amihud_illiquidity,2025-04-30,P02,3.5079120817687564
ILLIQ,continuous,high_minus_low,high_amihud_illiquidity,2025-04-30,P03,4.811465469404852
ILLIQ,continuous,high_minus_low,high_amihud_illiquidity,2025-04-30,P04,0.013708643771340078
ILLIQ,continuous,high_minus_low,high_amihud_illiquidity,2025-04-30,P05,1.7375488880329948
ILLIQ,continuous,high_minus_low,high_amihud_illiquidity,2025-04-30,P06,-0.7702148762661039
ILLIQ,continuous,high_minus_low,high_amihud_illiquidity,2025-04-30,P07,3.437948925933844
ILLIQ,continuous,high_minus_low,high_amihud_illiquidity,2025-04-30,P08,6.93366750569262
ILLIQ,continuous,high_minus_low,high_amihud_illiquidity,2025-04-30,P09,11.445194281215944
ILLIQ,continuous,high_minus_low,high_amihud_illiquidity,2025-04-30,P10,5.314945501845569
ILLIQ,continuous,high_minus_low,high_amihud_illiquidity,2025-05-31,P01,1.8458533852130914
ILLIQ,continuous,high_minus_low,high_amihud_illiquidity,2025-05-31,P02,5.671508282095404
ILLIQ,continuous,high_minus_low,high_amihud_illiquidity,2025-05-31,P03,6.670946405479485
ILLIQ,continuous,high_minus_low,high_amihud_illiquidity,2025-05-31,P04,6.645739279937938
ILLIQ,continuous,high_minus_low,high_amihud_illiquidity,2025-05-31,P05,5.043778162389891
ILLIQ,continuous,high_minus_low,high_amihud_illiquidity,2025-05-31,P06,2.0003045648909126
ILLIQ,continuous,high_minus_low,high_amihud_illiquidity,2025-05-31,P07,7.107221127677308
ILLIQ,continuous,high_minus_low,high_amihud_illiquidity,2025-05-31,P08,3.726065918283395
ILLIQ,continuous,high_minus_low,high_amihud_illiquidity,2025-05-31,P09,-1.5687571356602397
ILLIQ,continuous,high_minus_low,high_amihud_illiquidity,2025-05-31,P10,6.306697215330929
ILLIQ,continuous,high_minus_low,high_amihud_illiquidity,2025-06-30,P01,0.3096212515974809
ILLIQ,continuous,high_minus_low,high_amihud_illiquidity,2025-06-30,P02,2.406344735443008
ILLIQ,continuous,high_minus_low,high_amihud_illiquidity,2025-06-30,P03,4.8093050277214875
ILLIQ,continuous,high_minus_low,high_amihud_illiquidity,2025-06-30,P04,3.8422737539520813
ILLIQ,continuous,high_minus_low,high_amihud_illiquidity,2025-06-30,P05,7.81899451045854
ILLIQ,continuous,high_minus_low,high_amihud_illiquidity,2025-06-30,P06,2.5417192127323007
ILLIQ,continuous,high_minus_low,high_amihud_illiquidity,2025-06-30,P07,-0.46562542349461433
ILLIQ,continuous,high_minus_low,high_amihud_illiquidity,2025-06-30,P08,5.0039889006748615
ILLIQ,continuous,high_minus_low,high_amihud_illiquidity,2025-06-30,P09,7.033452228858592
ILLIQ,continuous,high_minus_low,high_amihud_illiquidity,2025-06-30,P10,1.2263650175841956
