country_code,month_end_date,eligible_rows,payer_count,nonpayer_count,payer_market_cap,nonpayer_market_cap,payer_mb_value_weight,nonpayer_mb_value_weight,DIV_PREMIUM_VW,raw_value,min_group_count,dividend_premium_status
SWE,2003-11-30,249,131,118,1197255.5818617926,177125.60571485315,2.4496504917871245,2.5351293728261584,-0.03429931241952755,-0.03429931241952755,10,ok
SWE,2003-12-31,253,131,122,1273279.7454229582,156262.15441041897,2.5785258087800096,2.623102505450428,-0.017139935910185033,-0.017139935910185033,10,ok
SWE,2004-01-31,253,131,122,1302398.4056254625,169487.42289105998,2.715245234231648,3.0086170343038394,-0.10259824114551397,-0.10259824114551397,10,ok
SWE,2004-02-29,253,131,122,1319102.7991714566,165085.467600626,2.901798265997738,3.073804461441869,-0.05758539609348756,-0.05758539609348756,10,ok
SWE,2004-03-31,252,130,122,1308232.695685768,159335.16776000598,2.902140141654329,2.874991163492984,0.009398844023043917,0.009398844023043917,10,ok
SWE,2004-04-30,249,128,121,1323014.113224935,159030.0878957675,2.852603949251547,2.928140818707294,-0.02613544521786504,-0.02613544521786504,10,ok
SWE,2004-05-31,250,129,121,1293712.6445407511,156695.28564919598,2.674466970849895,3.036904479355744,-0.12708863600723297,-0.12708863600723297,10,ok
SWE,2004-06-30,250,128,122,1339635.3121634212,152394.38341213,2.6137054506980792,2.7960162846904257,-0.06742672122966642,-0.06742672122966642,10,ok
SWE,2004-07-31,249,127,122,1317642.3186399497,147873.1187258875,2.564739221919767,2.692799718051069,-0.04872463416298889,-0.04872463416298889,10,ok
SWE,2004-08-31,248,126,122,1299420.253463917,145123.79929417121,2.6362885367483946,2.4781749723004065,0.06184967971653177,0.06184967971653177,10,ok
SWE,2004-09-30,248,126,122,1348015.7998212457,152891.656960558,2.7846389039488377,2.549569037658394,0.08819386745642999,0.08819386745642999,10,ok
SWE,2004-10-31,247,125,122,1366785.0645518177,148364.705667027,2.782924918952582,2.63748245209237,0.053677658177326615,0.053677658177326615,10,ok
SWE,2004-11-30,243,125,118,1455458.566735169,158056.35438727998,2.8871609695360227,2.5819643965546617,0.1117231525731639,0.1117231525731639,10,ok
SWE,2004-12-31,245,125,120,1506684.3032010887,154601.072832446,2.906735576204472,2.4409977528335536,0.1746237855637215,0.1746237855637215,10,ok
SWE,2005-01-31,245,125,120,1509902.2072618117,164601.63760800002,2.8948504177398124,2.573823673104224,0.1175408367555767,0.1175408367555767,10,ok
SWE,2005-02-28,244,125,119,1566545.0657713998,170295.62221455996,2.9757655777153604,2.9763297690269463,-0.00018957737751446047,-0.00018957737751446047,10,ok
SWE,2005-03-31,243,125,118,1572992.1892423583,170933.93039970237,2.9383965581608966,3.233062393122293,-0.09556575319698979,-0.09556575319698979,10,ok
SWE,2005-04-30,240,123,117,1513418.9699724922,163468.308407772,2.847482186974998,2.9806761434335236,-0.04571500790246241,-0.04571500790246241,10,ok
SWE,2005-05-31,239,123,116,1561885.7959626226,172883.70695642004,2.942251824069242,3.1736883914595557,-0.07571922720844726,-0.07571922720844726,10,ok
SWE,2005-06-30,240,96,144,1525183.7113681822,262838.14339657,2.83976151818305,3.4623658709682466,-0.19823205696016433,-0.19823205696016433,10,ok
SWE,2005-07-31,240,96,144,1594639.4728541034,278617.618133738,2.9129861846144918,3.811894000807938,-0.2689474433915495,-0.2689474433915495,10,ok
SWE,2005-08-31,240,96,144,1541799.2602923303,287859.75213087996,2.960095293818909,4.219181451010624,-0.3544196786031839,-0.3544196786031839,10,ok
SWE,2005-09-30,236,96,140,1633925.2236171302,300754.1671718536,3.1694057429113243,4.12125904589743,-0.26261460282978377,-0.26261460282978377,10,ok
SWE,2005-10-31,235,96,139,1629877.4343919994,297786.566644616,3.0796513882517442,3.9248330568765235,-0.2425074121029842,-0.2425074121029842,10,ok
SWE,2005-11-30,233,95,138,1679493.2794970712,312468.4116233904,3.071873647010414,4.116172453673368,-0.2926360315507488,-0.2926360315507488,10,ok
SWE,2005-12-31,231,94,137,1791370.1651368209,336038.4416037232,3.167710029786732,4.288697278893038,-0.3029740834695005,-0.3029740834695005,10,ok
SWE,2006-01-31,231,94,137,1780318.481290159,360264.98624475003,3.193775815696293,4.601745392518712,-0.3652318065549489,-0.3652318065549489,10,ok
SWE,2006-02-28,230,94,136,1874473.8223967517,364579.97326612,3.3365015064882098,4.483945380170553,-0.2955805192065022,-0.2955805192065022,10,ok
SWE,2006-03-31,230,94,136,1986617.919095407,389268.628995438,3.4137914395781186,4.705956993909986,-0.3210056189460615,-0.3210056189460615,10,ok
SWE,2006-04-30,230,93,137,1936590.5777011411,408662.91757642804,3.253315676496557,4.7030095287186455,-0.36852794461877547,-0.36852794461877547,10,ok
SWE,2006-05-31,159,62,97,1339534.5800749387,260628.3649551095,2.74283507177047,3.2866211191570613,-0.1808679383860674,-0.1808679383860674,10,ok
SWE,2006-06-30,158,61,97,1321355.4327371996,261999.33177077002,2.7122004782552187,3.1775523271758104,-0.15835090197269253,-0.15835090197269253,10,ok
SWE,2006-07-31,154,59,95,1264560.5965111,248344.51924522003,2.5506424263905667,3.1525997166121402,-0.21188215996140858,-0.21188215996140858,10,ok
SWE,2006-08-31,152,58,94,1286503.0514085256,254638.79694738402,2.8636802669442343,3.2745460814223315,-0.13407165415922528,-0.13407165415922528,10,ok
SWE,2006-09-30,162,65,97,1427126.91522807,297520.3697984148,2.993820680479741,3.666192399202374,-0.2026032388478647,-0.2026032388478647,10,ok
SWE,2006-10-31,197,87,110,1678154.99640764,313647.87319246406,3.369762428896787,3.7739012228189686,-0.11326702752690743,-0.11326702752690743,10,ok
SWE,2006-11-30,210,94,116,1905024.7543755395,327314.698097354,3.342709523824716,4.063411462010424,-0.19524116957676463,-0.19524116957676463,10,ok
SWE,2006-12-31,214,97,117,2089977.2036298302,341722.472584356,3.6184136653051526,4.467116618220087,-0.2107074328479297,-0.2107074328479297,10,ok
SWE,2007-01-31,213,97,116,2201272.9386222297,345005.45270549005,3.75193084447716,4.293946068456162,-0.13493554030142696,-0.13493554030142696,10,ok
SWE,2007-02-28,212,96,116,2152869.6340236696,333931.07140326005,3.6740880448827813,4.060511140964763,-0.10000391166072764,-0.10000391166072764,10,ok
SWE,2007-03-31,214,97,117,2268147.93953883,352532.90688377374,3.684109891057866,4.12167609069495,-0.11223095153766205,-0.11223095153766205,10,ok
SWE,2007-04-30,212,97,115,2419264.3076611804,353612.73685179005,3.8382433626799624,4.447764901156479,-0.1473868962970375,-0.1473868962970375,10,ok
SWE,2007-05-31,219,103,116,2442740.650972744,394973.56737062254,4.0469349670401815,4.919333487404531,-0.19521325494719877,-0.19521325494719877,10,ok
SWE,2007-06-30,222,105,117,2390737.1390675525,385608.8811828301,3.9422378152550754,4.64080574649504,-0.16313946793523226,-0.16313946793523226,10,ok
SWE,2007-07-31,223,105,118,2363344.311622901,376249.96161409,3.8727687759435994,4.38159840562691,-0.12344389339563322,-0.12344389339563322,10,ok
SWE,2007-08-31,224,109,115,2281214.7061756,391228.90154945,3.946322432432482,3.7731011565023573,0.04488686422014565,0.04488686422014565,10,ok
SWE,2007-09-30,226,114,112,2272454.0454145,369757.96191042,4.14285674546965,3.4769275210878843,0.17523657744521182,0.17523657744521182,10,ok
SWE,2007-10-31,233,119,114,2243637.2165179984,369573.93250487,4.186132230506564,3.539604532827857,0.1677622052598846,0.1677622052598846,10,ok
SWE,2007-11-30,236,124,112,2161953.47902485,308122.0962787,4.085938712293852,3.4080816717612645,0.18140192344572958,0.18140192344572958,10,ok
SWE,2007-12-31,256,130,126,2096202.3971006977,301519.2863141099,4.113115379758601,3.2744150951772286,0.22804148506810207,0.22804148506810207,10,ok
SWE,2008-01-31,260,131,129,1825340.6783468802,269869.47819402,3.641334062698796,3.12225419648401,0.15379487542727732,0.15379487542727732,10,ok
SWE,2008-02-29,260,140,120,1947982.4204453803,278570.73328221,3.649250311627069,3.1411061200150656,0.14994674701412491,0.14994674701412491,10,ok
SWE,2008-03-31,257,144,113,1942856.1524846596,213216.92726250002,3.34413596120504,3.2217757318153315,0.037275675590270785,0.037275675590270785,10,ok
SWE,2008-04-30,255,147,108,1890412.8569006,204712.68955588003,3.125800896820232,3.1564401270962517,-0.009754313180260876,-0.009754313180260876,10,ok
SWE,2008-05-31,258,151,107,1926577.1665510512,167123.99007682002,2.8622538005606946,9.810802333765663,-1.231874700925156,-1.231874700925156,10,ok
SWE,2008-06-30,275,164,111,1621321.899258949,152278.91831468,2.400838330670469,4.520494779112584,-0.6328034714514541,-0.6328034714514541,10,ok
SWE,2008-07-31,302,166,136,1596544.0391043993,156632.027993666,2.5898747461766343,4.338284850693088,-0.5158695603166036,-0.5158695603166036,10,ok
SWE,2008-08-31,301,170,131,1628063.6929201,133009.83989144,2.5818373577373923,4.5538870772244655,-0.5674798713068547,-0.5674798713068547,10,ok
SWE,2008-09-30,295,171,124,1442299.2485432401,88703.6302065724,2.2820173781330726,3.2094658656165587,-0.3410446595732374,-0.3410446595732374,10,ok
SWE,2008-10-31,300,174,126,1118588.2513279887,68151.74755153399,1.8976462539015626,2.5277887744292395,-0.28673061390260224,-0.28673061390260224,10,ok
SWE,2008-11-30,297,174,123,1078573.988655981,61304.860282673595,2.5579112230192647,2.38742232939521,0.06897673627945289,0.06897673627945289,10,ok
SWE,2008-12-31,295,174,121,1128990.7732473698,63155.698439859996,2.6654717602838365,2.4938138869705404,0.06656784253270442,0.06656784253270442,10,ok
SWE,2009-01-31,298,172,126,998182.2337470603,68960.88666932,3.3914472843771035,3.227355104642332,0.04959380909022948,0.04959380909022948,10,ok
SWE,2009-02-28,295,169,126,1037648.5874279302,62978.14624976081,3.5580734865717307,3.523336735672475,0.009810766056358444,0.009810766056358444,10,ok
SWE,2009-03-31,293,168,125,1093648.4758091704,73112.03039919,3.2425896176314466,3.596756107615923,-0.10366008276317773,-0.10366008276317773,10,ok
SWE,2009-04-30,292,166,126,1326634.2661191006,88832.05192763,2.3660139076814697,3.9708810660532254,-0.5177813573919722,-0.5177813573919722,10,ok
SWE,2009-05-31,301,174,127,1294897.7414418475,139557.178864539,2.189442242378123,5.407052631343199,-0.9040573167341116,-0.9040573167341116,10,ok
SWE,2009-06-30,295,173,122,1305335.6198820393,100392.86547864151,2.2663050797740127,5.056857983621958,-0.8025945514159658,-0.8025945514159658,10,ok
SWE,2009-07-31,294,173,121,1474230.6486329448,110571.65419857998,2.741766317331581,5.474122865246668,-0.6914297015372477,-0.6914297015372477,10,ok
SWE,2009-08-31,309,183,126,1694780.06284191,117891.6124617756,2.700071104628568,4.765350161761224,-0.5680929128988712,-0.5680929128988712,10,ok
SWE,2009-09-30,319,187,132,1704524.1903177802,139657.56177909,2.8012214289892126,3.8304816372898074,-0.3129350024459132,-0.3129350024459132,10,ok
SWE,2009-10-31,316,186,130,1757839.0694893047,143369.253522092,2.970983405844495,4.083102608139608,-0.3179641315094075,-0.3179641315094075,10,ok
SWE,2009-11-30,316,186,130,1770194.2903308673,148096.560259386,3.030670356234677,4.1742981910880586,-0.3201624114969961,-0.3201624114969961,10,ok
SWE,2009-12-31,315,187,128,1833962.099012338,154117.12474107498,3.0911390898324895,4.7412626149201795,-0.42776381422555043,-0.42776381422555043,10,ok
SWE,2010-01-31,315,185,130,1809333.7318165759,155143.00484853,3.1539479631072593,5.489037634145231,-0.5540979561216972,-0.5540979561216972,10,ok
SWE,2010-02-28,316,186,130,1793179.965574896,154033.24279045718,3.1855979512629706,4.679957941661677,-0.38464911186153894,-0.38464911186153894,10,ok
SWE,2010-03-31,324,187,137,1981857.4182290898,168986.33366128558,3.4373409393476098,5.462042549165436,-0.4631246233228088,-0.4631246233228088,10,ok
SWE,2010-04-30,325,187,138,2108761.1757703,180320.4453984312,3.5588939138379887,6.411088936833361,-0.5885793392185994,-0.5885793392185994,10,ok
SWE,2010-05-31,331,188,143,1936618.1033346471,174575.7970203685,3.2661212855542128,6.95043751211544,-0.7552014793104878,-0.7552014793104878,10,ok
SWE,2010-06-30,337,185,152,1947721.5228958197,171415.08607067898,3.3347393353279897,5.747742990786906,-0.5444127384189319,-0.5444127384189319,10,ok
SWE,2010-07-31,335,182,153,2060406.8287683078,183877.32956590678,3.5562541146401783,5.558981892638422,-0.446707202752068,-0.446707202752068,10,ok
SWE,2010-08-31,332,181,151,1963842.5174459093,180930.5056580325,3.728525484110719,5.002881506685036,-0.2940012048450067,-0.2940012048450067,10,ok
SWE,2010-09-30,334,181,153,2218051.96244335,204574.89400514401,3.787197141475755,6.142007079608084,-0.48352536968150184,-0.48352536968150184,10,ok
SWE,2010-10-31,334,177,157,2179277.4951618384,208123.419829242,3.1950905004556693,6.25004899800711,-0.6709738903191567,-0.6709738903191567,10,ok
SWE,2010-11-30,337,179,158,2274895.411308671,206823.21240896062,3.5707735304458863,6.70009341383093,-0.6293392211467579,-0.6293392211467579,10,ok
SWE,2010-12-31,337,181,156,2464099.5092140296,226517.84394069642,3.7498533035229573,8.00526233279629,-0.7583823968727004,-0.7583823968727004,10,ok
SWE,2011-01-31,336,180,156,2407041.6985427197,231924.815626182,3.5981624585991208,7.305225301610134,-0.7081665998542361,-0.7081665998542361,10,ok
SWE,2011-02-28,338,175,163,2346983.5855283495,240021.839391146,3.587494509517414,7.902978300119651,-0.789785637805011,-0.789785637805011,10,ok
SWE,2011-03-31,335,176,159,2392393.47804626,246649.6664457,3.69966090555415,9.259291380963761,-0.9173863526931909,-0.9173863526931909,10,ok
SWE,2011-04-30,335,179,156,2472971.0493567693,246823.8192167345,3.6477958394393215,8.243690821858305,-0.8153250533313383,-0.8153250533313383,10,ok
SWE,2011-05-31,333,183,150,2452686.03729607,120592.612508419,3.253507560407579,10.066234269161045,-1.1294530176686648,-1.1294530176686648,10,ok
SWE,2011-06-30,336,184,152,2239352.9471507096,118337.1073344,3.1643720109841325,8.736116603541545,-1.0155111472302032,-1.0155111472302032,10,ok
SWE,2011-07-31,345,187,158,2240606.17655744,111875.69566254222,3.1450075559008037,8.640762788772939,-1.0106745719949197,-1.0106745719949197,10,ok
SWE,2011-08-31,360,185,175,1997134.7900723103,103654.63058235,2.7090477866967175,9.26504974012327,-1.229652025403675,-1.229652025403675,10,ok
SWE,2011-09-30,372,187,185,1835135.3518938948,102832.6415970196,2.5127687334201534,14.27474091103464,-1.7371063792966894,-1.7371063792966894,10,ok
SWE,2011-10-31,370,185,185,2064273.9397677896,123358.00458494,2.742940082642073,21.90422115831328,-2.0776489972195864,-2.0776489972195864,10,ok
SWE,2011-11-30,369,186,183,2008674.8368802092,120074.88379123798,2.6878833496614467,16.808837689756814,-1.8331507760376669,-1.8331507760376669,10,ok
SWE,2011-12-31,370,188,182,2030145.6668412397,119329.14797345,2.717318769071261,22.728190494022357,-2.123960378510373,-2.123960378510373,10,ok
SWE,2012-01-31,369,189,180,2258415.26238985,120738.390724714,2.959562435269305,20.41033377956735,-1.9309998989288892,-1.9309998989288892,10,ok
SWE,2012-02-29,368,188,180,2403173.53692686,126385.0290024092,3.1474168464427033,21.368967042373637,-1.915357663687668,-1.915357663687668,10,ok
SWE,2012-03-31,372,190,182,2332474.385675259,125017.54478653797,3.030369169113566,18.600857049510065,-1.8145232074973403,-1.8145232074973403,10,ok
SWE,2012-04-30,369,189,180,2328946.3043049304,119951.96646892399,2.9397104454145144,18.241868918723046,-1.82540835350045,-1.82540835350045,10,ok
SWE,2012-05-31,370,194,176,2124751.0895157373,111507.03528658501,2.64210902678415,17.92463317568696,-1.9145984498691777,-1.9145984498691777,10,ok
SWE,2012-06-30,371,201,170,2132048.7872748678,106777.251269545,2.741719344802628,18.042681163902433,-1.8841549051588067,-1.8841549051588067,10,ok
SWE,2012-07-31,367,200,167,2236259.2478613025,112188.4485862,2.9796902182466862,20.2664315078858,-1.9171465555021068,-1.9171465555021068,10,ok
SWE,2012-08-31,366,200,166,2194141.30458898,114501.96523988499,2.8944280407043452,20.601153021100128,-1.9625595225991708,-1.9625595225991708,10,ok
SWE,2012-09-30,360,198,162,2302834.0897702044,121237.26623186999,2.953202831807806,16.895229852611347,-1.744141037747917,-1.744141037747917,10,ok
SWE,2012-10-31,352,194,158,2319799.4601849597,118417.4712527549,2.929099753376363,16.797748852238744,-1.74654975613007,-1.74654975613007,10,ok
SWE,2012-11-30,356,196,160,2427144.295304765,115788.15470997442,3.060020859137035,14.730219958438324,-1.5714794303947466,-1.5714794303947466,10,ok
SWE,2012-12-31,352,194,158,2479813.3681968795,115218.40189097602,3.126491563658871,13.935052090451011,-1.4944959293412852,-1.4944959293412852,10,ok
