sort_variable,sort_type,sentiment_prone_direction,sentiment_prone_interpretation,month_end_date,portfolio_code,portfolio_return,return_leg,directional_long_code,directional_short_code
ME,continuous,low_minus_high,small_firms,2009-01-31,P01,31.506044366757692,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2009-01-31,P10,-6.881772019144541,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2009-02-28,P01,2.8812476612933087,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2009-02-28,P10,-0.28190178494540097,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2009-03-31,P01,-6.6722612998358475,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2009-03-31,P10,1.025732248631481,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2009-04-30,P01,30.260962255133947,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2009-04-30,P10,22.570257967624265,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2009-05-31,P01,-5.966694093948252,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2009-05-31,P10,1.8932725581679617,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2009-06-30,P01,3.5631416388349906,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2009-06-30,P10,-0.727647380143575,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2009-07-31,P01,0.7490471290869731,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2009-07-31,P10,12.046748098001745,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2009-08-31,P01,17.134131493498664,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2009-08-31,P10,5.542794774173762,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2009-09-30,P01,2.21571249293153,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2009-09-30,P10,2.66586383291479,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2009-10-31,P01,3.304510125999339,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2009-10-31,P10,4.490080007174338,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2009-11-30,P01,-4.158365573159115,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2009-11-30,P10,1.999960415112497,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2009-12-31,P01,-5.087161116130476,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2009-12-31,P10,3.3041712939373427,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2010-01-31,P01,6.3830253166355035,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2010-01-31,P10,-0.27374149749293253,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2010-02-28,P01,7.687736683985797,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2010-02-28,P10,0.07022881348117026,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2010-03-31,P01,1.749479537176071,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2010-03-31,P10,8.820117017615015,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2010-04-30,P01,0.21310636060462532,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2010-04-30,P10,2.735039468957034,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2010-05-31,P01,-5.622570573801349,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2010-05-31,P10,-7.912680368499436,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2010-06-30,P01,3.43762725433536,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2010-06-30,P10,-1.0306061820845465,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2010-07-31,P01,-3.1407940852199,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2010-07-31,P10,6.385616240359445,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2010-08-31,P01,-6.994050003704914,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2010-08-31,P10,-2.867504657951851,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2010-09-30,P01,-1.1985389675506417,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2010-09-30,P10,12.603688511002744,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2010-10-31,P01,-7.519608124749476,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2010-10-31,P10,1.5881068157899445,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2010-11-30,P01,-0.9148664988976182,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2010-11-30,P10,1.4954190557786482,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2010-12-31,P01,-2.2640088598574053,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2010-12-31,P10,8.140122745009087,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2011-01-31,P01,12.068227205374875,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2011-01-31,P10,-1.9411770735684444,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2011-02-28,P01,-0.4837714379994512,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2011-02-28,P10,-0.36358986315017927,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2011-03-31,P01,-5.815096245473999,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2011-03-31,P10,4.052377812851482,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2011-04-30,P01,17.61638239538134,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2011-04-30,P10,3.5781666990459198,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2011-05-31,P01,-6.387785140002456,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2011-05-31,P10,-3.849134850028924,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2011-06-30,P01,5.352377024775442,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2011-06-30,P10,-3.0336189769773725,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2011-07-31,P01,-6.036668459656617,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2011-07-31,P10,-4.022925118526618,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2011-08-31,P01,-9.873188945422854,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2011-08-31,P10,-9.309022866929954,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2011-09-30,P01,1.5425904301425293,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2011-09-30,P10,-7.2069736219205165,short_leg,P01,P10
