sort_variable,sort_type,sentiment_prone_direction,sentiment_prone_interpretation,month_end_date,spread_code,spread_return,long_code,short_code,return_leg
ME,continuous,low_minus_high,small_firms,2006-07-31,SENTIMENT_PRONE_MINUS_INSENSITIVE,-4.531705130587172,P01,P10,directional_spread
ME,continuous,low_minus_high,small_firms,2006-08-31,SENTIMENT_PRONE_MINUS_INSENSITIVE,1.6745885602229014,P01,P10,directional_spread
ME,continuous,low_minus_high,small_firms,2006-09-30,SENTIMENT_PRONE_MINUS_INSENSITIVE,-1.9596285602184813,P01,P10,directional_spread
ME,continuous,low_minus_high,small_firms,2006-10-31,SENTIMENT_PRONE_MINUS_INSENSITIVE,-9.168840951668617,P01,P10,directional_spread
ME,continuous,low_minus_high,small_firms,2006-11-30,SENTIMENT_PRONE_MINUS_INSENSITIVE,-5.001307478018076,P01,P10,directional_spread
ME,continuous,low_minus_high,small_firms,2006-12-31,SENTIMENT_PRONE_MINUS_INSENSITIVE,-4.771297214460789,P01,P10,directional_spread
ME,continuous,low_minus_high,small_firms,2007-01-31,SENTIMENT_PRONE_MINUS_INSENSITIVE,15.968302333480128,P01,P10,directional_spread
ME,continuous,low_minus_high,small_firms,2007-02-28,SENTIMENT_PRONE_MINUS_INSENSITIVE,-1.804977859361005,P01,P10,directional_spread
ME,continuous,low_minus_high,small_firms,2007-03-31,SENTIMENT_PRONE_MINUS_INSENSITIVE,-4.956626737226737,P01,P10,directional_spread
ME,continuous,low_minus_high,small_firms,2007-04-30,SENTIMENT_PRONE_MINUS_INSENSITIVE,-6.502918339141293,P01,P10,directional_spread
ME,continuous,low_minus_high,small_firms,2007-05-31,SENTIMENT_PRONE_MINUS_INSENSITIVE,3.3346854330393785,P01,P10,directional_spread
ME,continuous,low_minus_high,small_firms,2007-06-30,SENTIMENT_PRONE_MINUS_INSENSITIVE,3.3422364804971094,P01,P10,directional_spread
ME,continuous,low_minus_high,small_firms,2007-07-31,SENTIMENT_PRONE_MINUS_INSENSITIVE,0.2380283161040785,P01,P10,directional_spread
